appid,price_usd,required_age,n_supported_languages,n_achievements,n_screenshots_api,n_movies,n_dlc,description_len_chars,description_len_words,n_tags,is_free,supports_windows,supports_mac,supports_linux,release_year,release_month,release_quarter,release_dow,genre_action,genre_adventure,genre_indie,genre_rpg,genre_strategy,genre_simulation,genre_free_to_play,genre_casual,genre_massively_multiplayer,genre_sports,genre_early_access,genre_racing,cat_single_player,cat_family_sharing,cat_steam_achievements,cat_multi_player,cat_steam_trading_cards,cat_steam_cloud,cat_full_controller_support,cat_co_op,cat_pvp,cat_online_pvp,cat_online_co_op,cat_remote_play_on_tablet,cat_remote_play_on_tv,cat_partial_controller_support,cat_steam_workshop,tag_singleplayer,tag_action,tag_multiplayer,tag_adventure,tag_co_op,tag_atmospheric,tag_open_world,tag_first_person,tag_shooter,tag_rpg,tag_story_rich,tag_great_soundtrack,tag_indie,tag_online_co_op,tag_strategy,tag_third_person,tag_fps,tag_simulation,tag_sandbox,tag_survival,tag_funny,tag_sci_fi,tag_pvp,tag_fantasy,tag_gore,tag_free_to_play,tag_casual,tag_difficult,tag_character_customization,tag_exploration,umap_x,umap_y,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
208580,9.99,0,5,57,7,2,0,828,150,20.0,0,1,1,1,2012.0,8.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13.723431,1.9038585,0.3637705951061436,0.0076932366085855,0.0076941394154201,0.0076930699354292,0.0076927119789363,0.0076931270724457,0.0076935041565516,0.0076931297240303,0.0076929121324311,1,0,0,0,0,0
310950,19.99,0,14,45,63,45,13,2629,430,20.0,0,1,0,0,2016.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.796485,-0.84986526,0.0071442751861235,0.0071441880889123,0.0071436232750839,0.0071437315795484,0.4340417623579806,0.0071434149070415,0.0071439014225972,0.5088066372963912,0.0071446061527663,0,1,0,0,0,0
1046930,0.0,0,28,0,5,1,0,3499,563,20.0,1,1,1,1,2019.0,6.0,2.0,3.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5.7270293,3.1416974,0.0050009625116463,0.0050010545265631,0.0050005699631832,0.005001302211994,0.4335933847729573,0.0050009164720845,0.5263989624548244,0.0050008803955984,0.0050006503924119,0,1,0,0,0,0
780310,29.99,0,10,54,29,6,4,4462,727,20.0,0,1,0,0,2021.0,10.0,4.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8.721725,5.8997097,0.0040012980651291,0.0040006694924851,0.0040014016143719,0.4563378376656105,0.0040009331155662,0.5116532701634068,0.0040018502371889,0.0040008757346926,0.0040010281073554,0,0,0,1,0,0
933110,0.0,0,13,88,12,3,9,1566,250,20.0,1,1,0,0,2020.0,10.0,4.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9.408644,6.6229153,0.0050014933838029,0.6402425964998025,0.0050003075616797,0.0050011795347751,0.0050008128924743,0.0050004505644197,0.3197501637260771,0.00500118572441,0.0050007707647525,0,0,0,1,0,0
420,19.99,0,17,23,5,7,1,629,99,20.0,0,1,0,1,2007.0,10.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.402294,2.4674695,0.0050015402436814,0.005000980005056,0.0050018252813416,0.0050013600900542,0.0050005745318013,0.0050007872015299,0.0050009351614771,0.7076308645339807,0.0050010672340503,0,0,0,0,1,0
292030,39.99,17,17,78,18,4,22,15,3,20.0,0,1,0,0,2015.0,5.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.462225,1.4820299,0.0076934753162123,0.0076928879757166,0.0076944568719714,0.0076945578253167,0.930756288598786,0.0076936209739773,0.0076937896244627,0.0076941985774583,0.0076933345073962,1,0,0,0,0,0
460790,19.99,17,6,50,12,3,0,1799,281,20.0,0,1,0,0,2017.0,4.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.909242,0.27426258,0.0066683232949083,0.9399891987507852,0.006668044626717,0.0066683670279866,0.0066683772729163,0.0066672179991893,0.0066676116766963,0.0066682674148032,0.0066675556210252,1,0,0,0,0,0
203160,19.99,17,13,50,10,5,0,972,157,20.0,0,1,1,0,2013.0,3.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.850172,0.586175,0.0200027172937152,0.0200000000457401,0.8199798829602752,0.0200001678783686,0.0200032131229141,0.0200004147173999,0.0200009708596155,0.0200056096980224,0.0200046410779437,0,0,0,0,1,0
1637320,17.99,0,29,47,8,5,4,1615,269,20.0,0,1,1,1,2022.0,9.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.8568463,1.9990371,0.0071436620767169,0.4509856605819906,0.0071444657627815,0.0071438024731623,0.007143369985578,0.4918619439666074,0.0071440973338318,0.0071450036054924,0.007144325640314,0,1,0,0,0,0
